tok	lemma	head	modifier	trancription_name	L1	type
Muttergesellschaft	Muttergesellschaft	Gesellschaft	Mutter	cbs002_2006_09	dan	compound
Arbeitsaufgaben	Arbeitsaufgabe	Aufgabe	Arbeits	cbs002_2006_09	dan	compound
Sachbearbeiterin	Sachbearbeiterin	Bearbeiterin	Sach	cbs002_2006_09	dan	compound
Privatversicherten	Privatversicherte	Privatversicherte	NULL	cbs002_2006_09	dan	compound
Reiseversicherrung	Reiseversicherrung	Reiseversicherrung	NULL	cbs002_2006_09	dan	compound
Jobfunktion	Jobfunktion	Funktion	Job	cbs002_2006_09	dan	compound
Reiseversicherung	Reiseversicherung	Versicherung	Reise	cbs002_2006_09	dan	compound
Sommerhaus	Sommerhaus	Haus	Sommer	cbs002_2006_09	dan	compound
Abbestellungsversicherung	Abbestellungsversicherung	Versicherung	Abbestellungs	cbs002_2006_09	dan	compound
Hausratschäden	Hausratschäden	Schäden	Hausrat	cbs002_2006_09	dan	compound
Vermietungsbüros	Vermietungsbüros	Büro	Vermietungs	cbs002_2006_09	dan	compound
Sachbearbeitung	Sachbearbeitung	Bearbeitung	Sach	cbs002_2006_09	dan	compound
Briefsysteme	Briefsysteme	Briefsysteme	NULL	cbs002_2006_09	dan	compound
Aufdatieren	Aufdatieren	Tier	Aufda	cbs002_2006_09	dan	compound
Geldfrage	Geldfrage	Frage	Geld	cbs002_2006_09	dan	compound
Reiseversicherung	Reiseversicherung	Versicherung	Reise	cbs002_2006_09	dan	compound
hinbeifügen	hinbeifügen	Fügen	hinbei	cbs002_2006_09	dan	compound
Handlungsweise	Handlungsweise	Weise	Handlungs	cbs002_2006_09	dan	compound
Sachbearbeiterin	Sachbearbeiterin	Bearbeiterin	Sach	cbs002_2006_09	dan	compound
Aussage	Aussage	Aussage	NULL	cbs002_2006_09	dan	simplex
Studenten	Student	Student	NULL	cbs002_2006_09	dan	simplex
Welt	Welt	Welt	NULL	cbs002_2006_09	dan	simplex
Sitz	Sitz	Sitz	NULL	cbs002_2006_09	dan	simplex
Sachen	Sache	Sache	NULL	cbs002_2006_09	dan	simplex
Staat	Staat	Staat	NULL	cbs002_2006_09	dan	simplex
Sachen	Sache	Sache	NULL	cbs002_2006_09	dan	simplex
Monaten	Monat	Monat	NULL	cbs002_2006_09	dan	simplex
Produkt	Produkt	Produkt	NULL	cbs002_2006_09	dan	simplex
Produkt	Produkt	Produkt	NULL	cbs002_2006_09	dan	simplex
Versicherung	Versicherung	Versicherung	NULL	cbs002_2006_09	dan	simplex
Kunden	Kunde	Kunde	NULL	cbs002_2006_09	dan	simplex
Verbindung	Verbindung	Verbindung	NULL	cbs002_2006_09	dan	simplex
Jahren	Jahr	Jahr	NULL	cbs002_2006_09	dan	simplex
Briefe	Brief	Brief	NULL	cbs002_2006_09	dan	simplex
Tag	Tag	Tag	NULL	cbs002_2006_09	dan	simplex
Funktion	Funktion	Funktion	NULL	cbs002_2006_09	dan	simplex
Briefe	Brief	Brief	NULL	cbs002_2006_09	dan	simplex
Kompetenz	Kompetenz	Kompetenz	NULL	cbs002_2006_09	dan	simplex
Art	Art	Art	NULL	cbs002_2006_09	dan	simplex
Kompetenz	Kompetenz	Kompetenz	NULL	cbs002_2006_09	dan	simplex
Chef	Chef	Chef	NULL	cbs002_2006_09	dan	simplex
Erfolg	Erfolg	Erfolg	NULL	cbs002_2006_09	dan	simplex
Kommunikation	Kommunikation	Kommunikation	NULL	cbs002_2006_09	dan	simplex
Briefe	Brief	Brief	NULL	cbs002_2006_09	dan	simplex
Kunden	Kunde	Kunde	NULL	cbs002_2006_09	dan	simplex
Kunden	Kunde	Kunde	NULL	cbs002_2006_09	dan	simplex
Gesellschaft	Gesellschaft	Gesellschaft	NULL	cbs002_2006_09	dan	simplex
Kommunikation	Kommunikation	Kommunikation	NULL	cbs002_2006_09	dan	simplex
Kunden	Kunde	Kunde	NULL	cbs002_2006_09	dan	simplex
Mangel	Mangel	Mangel	NULL	cbs002_2006_09	dan	simplex
Kategori	Kategori	Kategori	NULL	cbs002_2006_09	dan	simplex
Frage	Frage	Frage	NULL	cbs002_2006_09	dan	simplex
Arbeitsplatzes	Arbeitsplatz	Arbeitsplatz	NULL	cbs002_2006_09	dan	simplex
Stande	Stand	Stand	NULL	cbs002_2006_09	dan	simplex
Universität	Universität	Universität	NULL	cbs002_2006_09	dan	simplex
Fähigkeiten	Fähigkeit	Fähigkeit	NULL	cbs002_2006_09	dan	simplex
Praxis	Praxis	Praxis	NULL	cbs002_2006_09	dan	simplex
Vorname	Vorname	Vorname	NULL	cbs002_2006_09	dan	simplex
Name	Name	Name	NULL	cbs002_2006_09	dan	simplex
Studierende	Studierende	Studierende	NULL	cbs002_2006_09	dan	simplex
Zuschnellfahrens	Zuschnellfahrens	Fahren	Zuschnell	cbs002_2007_10	dan	compound
Zeitpunkt	Zeitpunkt	Punkt	Zeit	cbs002_2007_10	dan	compound
Schwarzsehen	Schwarzsehen	Sehen	Schwarz	cbs002_2007_10	dan	compound
Straftaten	Straftat	Tat	Straf	cbs002_2007_10	dan	compound
Echtzeit	Echtzeit	Zeit	Echt	cbs002_2007_10	dan	compound
Kriminalität	Kriminalität	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Fall	Fall	Fall	NULL	cbs002_2007_10	dan	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Luft	Luft	Luft	NULL	cbs002_2007_10	dan	simplex
Insel	Insel	Insel	NULL	cbs002_2007_10	dan	simplex
Paradies	Paradies	Paradies	NULL	cbs002_2007_10	dan	simplex
Kriminalitäten	Kriminalitäten	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Leben	Leben	Leben	NULL	cbs002_2007_10	dan	simplex
Haufen	Haufe	Haufe	NULL	cbs002_2007_10	dan	simplex
Geld	Geld	Geld	NULL	cbs002_2007_10	dan	simplex
Welt	Welt	Welt	NULL	cbs002_2007_10	dan	simplex
Leute	Leute	Leute	NULL	cbs002_2007_10	dan	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Sinne	Sinn	Sinn	NULL	cbs002_2007_10	dan	simplex
Ort	Ort	Ort	NULL	cbs002_2007_10	dan	simplex
Pech	Pech	Pech	NULL	cbs002_2007_10	dan	simplex
Autos	Auto	Auto	NULL	cbs002_2007_10	dan	simplex
Bilder	Bild	Bild	NULL	cbs002_2007_10	dan	simplex
Netz	Netz	Netz	NULL	cbs002_2007_10	dan	simplex
Laden	Laden	Laden	NULL	cbs002_2007_10	dan	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Fällen	Fällen	Fällen	NULL	cbs002_2007_10	dan	simplex
Ahnung	Ahnung	Ahnung	NULL	cbs002_2007_10	dan	simplex
Beispiele	Beispiel	Beispiel	NULL	cbs002_2007_10	dan	simplex
Menge	Menge	Menge	NULL	cbs002_2007_10	dan	simplex
Fällen	Fällen	Fällen	NULL	cbs002_2007_10	dan	simplex
Leute	Leute	Leute	NULL	cbs002_2007_10	dan	simplex
Leute	Leute	Leute	NULL	cbs002_2007_10	dan	simplex
Chancen	Chance	Chance	NULL	cbs002_2007_10	dan	simplex
Leute	Leute	Leute	NULL	cbs002_2007_10	dan	simplex
Lotto	Lotto	Lotto	NULL	cbs002_2007_10	dan	simplex
Fazit	Fazit	Fazit	NULL	cbs002_2007_10	dan	simplex
Leben	Leben	Leben	NULL	cbs002_2007_10	dan	simplex
Schwein	Schwein	Schwein	NULL	cbs002_2007_10	dan	simplex
Kriminalität	Kriminalität	Kriminalität	NULL	cbs002_2007_10	dan	simplex
Finger	Finger	Finger	NULL	cbs002_2007_10	dan	simplex
Universitätsausbildungen	Universitätsausbildungen	Ausbildung	Universitäts	cbs003_2006_09	dan	compound
Universitätsausbildungen	Universitätsausbildungen	Ausbildung	Universitäts	cbs003_2006_09	dan	compound
Universitätsausbildungen	Universitätsausbildungen	Ausbildung	Universitäts	cbs003_2006_09	dan	compound
Paxiserfahrungen	Paxiserfahrungen	Erfahrung	Paxis	cbs003_2006_09	dan	compound
Wertlos	Wertlos	Los	Wert	cbs003_2006_09	dan	compound
Praxiserfahrungen	Praxiserfahrung	Erfahrung	Praxis	cbs003_2006_09	dan	compound
Universitätsausbildungen	Universitätsausbildungen	Ausbildung	Universitäts	cbs003_2006_09	dan	compound
Praxisorientierung	Praxisorientierung	Orientierung	Praxis	cbs003_2006_09	dan	compound
Praxiserfahrung	Praxiserfahrung	Erfahrung	Praxis	cbs003_2006_09	dan	compound
Praxisorientierung	Praxisorientierung	Orientierung	Praxis	cbs003_2006_09	dan	compound
Problemlösung	Problemlösung	Lösung	Problem	cbs003_2006_09	dan	compound
Unversitätsausbildungen	Unversitätsausbildungen	Ausbildung	Unversitäts	cbs003_2006_09	dan	compound
Fürerschein	Fürerschein	Schein	Fürer	cbs003_2006_09	dan	compound
Fahrenlernen	Fahrenlernen	Lernen	Fahren	cbs003_2006_09	dan	compound
Fahrstunden	Fahrstunde	Stunde	Fahr	cbs003_2006_09	dan	compound
Autofahren	Autofahren	Fahren	Auto	cbs003_2006_09	dan	compound
Praxisorientierung	Praxisorientierung	Orientierung	Praxis	cbs003_2006_09	dan	compound
Praxiserfahrung	Praxiserfahrung	Erfahrung	Praxis	cbs003_2006_09	dan	compound
Arbeitsmarkt	Arbeitsmarkt	Markt	Arbeits	cbs003_2006_09	dan	compound
Jahren	Jahr	Jahr	NULL	cbs003_2006_09	dan	simplex
Univsersitäten	Univsersitäten	Univsersitäten	NULL	cbs003_2006_09	dan	simplex
Leute	Leute	Leute	NULL	cbs003_2006_09	dan	simplex
Jahre	Jahr	Jahr	NULL	cbs003_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2006_09	dan	simplex
Unternehmen	Unternehmen	Unternehmen	NULL	cbs003_2006_09	dan	simplex
Mitarbeiter	Mitarbeiter	Mitarbeiter	NULL	cbs003_2006_09	dan	simplex
Mitarbeiter	Mitarbeiter	Mitarbeiter	NULL	cbs003_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2006_09	dan	simplex
Ausbildungen	Ausbildung	Ausbildung	NULL	cbs003_2006_09	dan	simplex
Ausbildung	Ausbildung	Ausbildung	NULL	cbs003_2006_09	dan	simplex
Ausbildungen	Ausbildung	Ausbildung	NULL	cbs003_2006_09	dan	simplex
Medizin	Medizin	Medizin	NULL	cbs003_2006_09	dan	simplex
Laufe	Lauf	Lauf	NULL	cbs003_2006_09	dan	simplex
Ausbildung	Ausbildung	Ausbildung	NULL	cbs003_2006_09	dan	simplex
Praktikum	Praktikum	Praktikum	NULL	cbs003_2006_09	dan	simplex
Meinung	Meinung	Meinung	NULL	cbs003_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2006_09	dan	simplex
Ausbildung	Ausbildung	Ausbildung	NULL	cbs003_2006_09	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2006_09	dan	simplex
Rucksack	Rucksack	Rucksack	NULL	cbs003_2006_09	dan	simplex
Werkzeug	Werkzeug	Werkzeug	NULL	cbs003_2006_09	dan	simplex
Werkzeug	Werkzeug	Werkzeug	NULL	cbs003_2006_09	dan	simplex
Probleme	Problem	Problem	NULL	cbs003_2006_09	dan	simplex
Dinge	Ding	Ding	NULL	cbs003_2006_09	dan	simplex
Welt	Welt	Welt	NULL	cbs003_2006_09	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2006_09	dan	simplex
Werkzeuge	Werkzeug	Werkzeug	NULL	cbs003_2006_09	dan	simplex
Stelle	Stelle	Stelle	NULL	cbs003_2006_09	dan	simplex
Lage	Lage	Lage	NULL	cbs003_2006_09	dan	simplex
Probleme	Problem	Problem	NULL	cbs003_2006_09	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2006_09	dan	simplex
Betracht	Betracht	Betracht	NULL	cbs003_2006_09	dan	simplex
Test	Test	Test	NULL	cbs003_2006_09	dan	simplex
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs003_2007_10	dan	compound
Grundwissen	Grundwissen	Wissen	Grund	cbs003_2007_10	dan	compound
Führeschein	Führeschein	Ei	Führesch	cbs003_2007_10	dan	compound
Führeschein	Führeschein	Ei	Führesch	cbs003_2007_10	dan	compound
Grundwissen	Grundwissen	Wissen	Grund	cbs003_2007_10	dan	compound
Grundwissen	Grundwissen	Wissen	Grund	cbs003_2007_10	dan	compound
Grundwissen	Grundwissen	Wissen	Grund	cbs003_2007_10	dan	compound
Grundwissen	Grundwissen	Wissen	Grund	cbs003_2007_10	dan	compound
Grundwissen	Grundwissen	Wissen	Grund	cbs003_2007_10	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs003_2007_10	dan	compound
Ausblidung	Ausblidung	Dung	Ausbli	cbs003_2007_10	dan	compound
Universitätsabschlüsse	Universitätsabschlüs	Abschlüs	Universitäts	cbs003_2007_10	dan	compound
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Welt	Welt	Welt	NULL	cbs003_2007_10	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2007_10	dan	simplex
Universität	Universität	Universität	NULL	cbs003_2007_10	dan	simplex
Abschluss	Abschluß	Abschluß	NULL	cbs003_2007_10	dan	simplex
Abschluss	Abschluß	Abschluß	NULL	cbs003_2007_10	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs003_2007_10	dan	simplex
Universitäten	Universität	Universität	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Eindrück	Eindrück	Eindrück	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Leben	Leben	Leben	NULL	cbs003_2007_10	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2007_10	dan	simplex
Bücher	Buch	Buch	NULL	cbs003_2007_10	dan	simplex
Dozenten	Dozent	Dozent	NULL	cbs003_2007_10	dan	simplex
Buch	Buch	Buch	NULL	cbs003_2007_10	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2007_10	dan	simplex
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2007_10	dan	simplex
Leben	Leben	Leben	NULL	cbs003_2007_10	dan	simplex
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Eindrück	Eindrück	Eindrück	NULL	cbs003_2007_10	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Job	Job	Job	NULL	cbs003_2007_10	dan	simplex
Ausbildung	Ausbildung	Ausbildung	NULL	cbs003_2007_10	dan	simplex
Ausbildung	Ausbildung	Ausbildung	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Wert	Wert	Wert	NULL	cbs003_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs003_2007_10	dan	simplex
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Paar	Paar	Paar	NULL	cbs003_2007_10	dan	simplex
Fächer	Fächer	Fächer	NULL	cbs003_2007_10	dan	simplex
Bachelor	Bachelor	Bachelor	NULL	cbs003_2007_10	dan	simplex
Job	Job	Job	NULL	cbs003_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Eindruck	Eindruck	Eindruck	NULL	cbs003_2007_10	dan	simplex
Sinn	Sinn	Sinn	NULL	cbs003_2007_10	dan	simplex
Abschluss	Abschluß	Abschluß	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Stand	Stand	Stand	NULL	cbs003_2007_10	dan	simplex
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Unterricht	Unterricht	Unterricht	NULL	cbs003_2007_10	dan	simplex
Teil	Teil	Teil	NULL	cbs003_2007_10	dan	simplex
Problemes	Problem	Problem	NULL	cbs003_2007_10	dan	simplex
Universitäten	Universität	Universität	NULL	cbs003_2007_10	dan	simplex
Studenten	Student	Student	NULL	cbs003_2007_10	dan	simplex
Wissen	Wissen	Wissen	NULL	cbs003_2007_10	dan	simplex
Welt	Welt	Welt	NULL	cbs003_2007_10	dan	simplex
Problem	Problem	Problem	NULL	cbs003_2007_10	dan	simplex
Universität	Universität	Universität	NULL	cbs003_2007_10	dan	simplex
Super	Super	Super	NULL	cbs003_2007_10	dan	simplex
Autofahrer	Autofahrer	Autofahrer	NULL	cbs003_2007_10	dan	simplex
