ID	referent	infstat	topic	infstat_fine
110	Radewege	giv	ab	giv-inactive
111	die_Anlage	giv	ab	giv-inactive
112	die_Meinungsführer	new	nt	new
113	Gemeinderat	new	nt	new
114	Beschlüsse	new	nt	new
115	Alternativen	new	nt	new
116	brauchbare_Vorschläge	new	nt	new
117	den_Tisch	idiom	nt	idiom
118	Ein_multifunktionales_Objekt	giv	ab	giv-inactive
119	Umkleide-_und_Treffmöglichkeiten	giv	ab	giv-inactive
120	bessere_Variante	acc	nt	acc-inf
121	eine_fiktive_Idee	new	nt	new
122	diese	giv	ab	giv-active
123	einem_anderen_Blatt	idiom	nt	idiom
124	Radewege	giv	ab	giv-inactive
125	dem_nicht_weit_entfernten_Haus	new	nt	new
126	des_Beetzseetreffs_e._V.	acc	nt	acc-gen
127	ein_Gebäude	giv	nt	giv-active
128	das	giv	nt	giv-active
129	vielen_Freizeitbedürfnissen	new	nt	new
130	der_Sanitärtrakt	giv	ab	giv-inactive
131	nächsten_Saison	acc	nt	acc-gen
132	Radewege	giv	ab	giv-active
133	Freizeitkapitäne	giv	nt	giv-inactive
134	dem_Beetzsee	acc	nt	acc-gen
135	anderen_Anbietern	new	nt	new
136	das_Dorf	giv	ab	giv-active
137	der_Noch-Finanzbeigeordnete_Hans-Joachim_Bosse	new	ab	new
138	den_Stadtverordneten	new	nt	new
139	des_Haushalts	acc	nt	acc-gen
140	Gewissen	idiom	nt	idiom
141	die_Haushaltspolitiker	giv	ab	giv-active
142	der_SPD	acc	ab	acc-gen
143	ihrer_Wochenendklausur	new	fs	new
144	große_Welle	idiom	nt	idiom
145	Millionen	acc	ab	acc-gen
146	sie	giv	nt	giv-active
147	Bosse	giv	ab	giv-inactive
148	den_teuren_Theaterneubau	new	nt	new
149	das_Projekt	giv	nt	giv-active
150	der_dünnen_SPD-CDU-Mehrheit	acc	nt	acc-inf
151	man	acc	nt	acc-inf
152	dem_Vorhaben	giv	nt	giv-active
153	der_Kammerakademie	new	nt	new
154	die_Verwaltung	acc	ab	acc-inf
155	Das_Füllhorn	idiom	ab	idiom
156	Kitas	new	nt	new
157	Schulen	new	nt	new
158	der_Kooperationsvereinbarung	new	nt	new
159	der_CDU	giv	nt	giv-inactive
160	deren_Zustimmung	new	nt	new
161	der_Tasche	idiom	nt	idiom
162	Die_PDS	new	ab	new
163	die_sicher_notwendigen_Investitionen	acc	ab	acc-gen
164	der_Verkauf	new	nt	new
165	Tafelsilber	new	nt	new
166	Dieses_Problem	giv	ab	giv-active
167	das_Haushaltsloch	giv	ab	giv-inactive
168	Bosse	giv	nt	giv-inactive
169	die_Wüste	idiom	nt	idiom
170	Glückliche_Hühner	new	nt	new
171	die_deutschen_Legehennen	giv	ab	giv-active
172	heftiger_politischer_Streit	new	nt	new
173	Bundesagrarministerin_Renate_Künast	acc	ab	acc-gen
174	das_Halten	new	nt	new
175	der_Tiere	giv	nt	giv-active
176	engen_Legebatterien	new	nt	new
177	Jahr_2006	acc	fs	acc-gen
178	den_EU-Nachbarländern	new	fs	new
179	das	giv	ab	giv-active
180	fünf_Jahre	giv	fs	giv-active
181	Eier-Produzenten	new	ab	new
182	der_ganzen_Republik	acc	ab	acc-gen
183	Künasts_Pläne	giv	nt	giv-inactive
184	Die_Betriebe	giv	ab	giv-active
185	Osten	acc	ab	acc-gen
186	die_hohen_Investitionen	new	nt	new
187	die	giv	nt	giv-active
188	sie	giv	nt	giv-active
189	moderne_Legebatterien	acc	nt	acc-gen
190	europäischem_Standard	new	nt	new
191	Westen	acc	fs	acc-gen
192	die_Sorge	new	nt	new
193	ausländische_Konkurrenten	acc	ab	acc-inf
194	Billig-Eiern	new	nt	new
195	Legebatterien	giv	nt	giv-inactive
196	den_deutschen_Markt	new	nt	new
197	Beide_Bedenken	acc	ab	acc-aggr
198	der_Hand	idiom	nt	idiom
199	Ministerin_Künast	giv	ab	giv-inactive
200	längere_Übergangsfristen	new	nt	new
201	Grundsatz	new	nt	new
202	die_Käfighaltung	giv	nt	giv-inactive
203	sie	giv	ab	giv-active
204	Artgerechte_Tierhaltung	acc	ab	acc-gen
205	den_Eckpunkten	acc	nt	acc-inf
206	der_von_ihr_propagierten_Agrarwende	new	nt	new
207	mehr_Verbraucher	new	ab	new
208	Einkauf	new	nt	new
209	den_tierfreundlich_erzeugten_Eiern	acc	nt	acc-gen
210	Der_Euro	acc	ab	acc-gen
211	Manche_Geschäftsleute	new	ab	new
212	die_Währungsumstellung	acc	nt	acc-gen
213	Sie	giv	ab	giv-active
214	Informationsveranstaltungen	new	nt	new
215	sie	giv	nt	giv-active
216	der_Handwerkskammer	new	nt	new
217	die_Dienstleister	giv	ab	giv-active
218	sie	giv	nt	giv-active
219	sie	giv	nt	giv-active
220	die_Euroeinführung	giv	nt	giv-inactive
221	der_eindeutigen_Auszeichnung	acc	nt	acc-inf
222	der_Waren	new	nt	new
223	die_"_richtige_"_Umrechnung	acc	nt	acc-inf
224	Mark	acc	nt	acc-gen
225	Euro	giv	nt	giv-inactive
226	Der_Umrechnungskurs	acc	ab	acc-gen
227	den_Euro	giv	ab	giv-active
228	Daran	giv	ab	giv-active
229	zwei_Stellen	acc	nt	acc-gen
230	dem_Komma	acc	nt	acc-gen
231	kaufmännischem_Prinzip	acc	nt	acc-gen
232	Dies	giv	ab	giv-active
233	den_Gewerbetreibenden	giv	nt	giv-inactive
234	Einnahmeverlusten	new	nt	new
235	Kleinvieh	idiom	nt	idiom
236	Mist	idiom	nt	idiom
237	der_Rechnerei	giv	nt	giv-inactive
238	der_abgerundete_Bonbonpreis	new	ab	new
239	den_aufgerundeten_Schokoladenpreis	new	nt	new
240	Unbegründete_und_panische_Preiserhöhungen	new	ab	new
241	die_Kunden	new	nt	new
242	den_Rechnereien	giv	nt	giv-inactive
243	der_Euroumstellung	giv	nt	giv-inactive
244	das_Vertrauen	new	nt	new
245	seiner_Kunden	giv	nt	giv-inactive
246	Die_US-Regierung	acc	ab	acc-gen
247	dieser_Tage	acc	fs	acc-gen
248	Fernsehstationen	new	nt	new
249	Video-Ansprachen	new	nt	new
250	Osama_bin_Ladens	acc	nt	acc-gen
251	Das	giv	ab	giv-active
252	die_Pressefreiheit	acc	nt	acc-inf
253	versteckte_Botschaften	acc	nt	acc-inf
254	Aufwecken	idiom	nt	idiom
255	so_genannter_"_Schläfer_"	new	nt	new
256	darin	giv	nt	giv-active
257	Eine_westliche_Journalistengruppe	new	ab	new
258	der_Taliban	acc	nt	acc-gen
259	ein_zerstörtes_Dorf	new	nt	new
260	Afghanistan	acc	nt	acc-gen
261	Ein_authentischer_Ortstermin	acc	nt	acc-inf
262	die_Berichterstatter	giv	ab	giv-active
263	sie	giv	ab	giv-active
264	eigenen_Augen	idiom	nt	idiom
265	ihre_Reportagen	acc	ab	acc-inf
266	Allzu_präzise_Treffer-Bilder	new	ab	new
267	Washington	acc	ab	acc-gen
268	rasche_Meldungen	new	ab	new
269	dem_afghanischen_Chaos	acc	nt	acc-inf
270	hohe_Opferzahlen	acc	nt	acc-inf
271	der_Zivilbevölkerung	new	nt	new
272	Nachrichten	acc	ab	acc-inf
273	einer_Quelle	new	ab	new
274	dieser_Tage	giv	nt	giv-inactive
275	den_Lotto-Zahlen	acc	nt	acc-gen
276	keine_Gewähr	idiom	nt	idiom
277	den_namhaften_deutschen_Schriftstellern	new	ab	new
278	die	giv	ab	giv-active
279	Gerhard_Schröder	acc	ab	acc-gen
280	kein_faltenloses_Gesicht	acc	nt	acc-inf
281	Das	giv	ab	giv-active
282	die_meisten_jüngeren_Autoren	new	nt	new
283	die_ewige_Besserwisserei	new	ab	new
284	der_Altgedienten	giv	ab	giv-active
285	Günter_Grass	acc	ab	acc-inf
286	Christa_Wolf	acc	ab	acc-inf
287	Stefan_Heym	acc	ab	acc-inf
288	politischen_Angelegenheiten	acc	nt	acc-gen
289	Wort	idiom	nt	idiom
290	ein_großer_Teil_der_deutschen_Intellektuellen	acc	nt	acc-aggr
291	Schröder	giv	ab	giv-inactive
292	die_öffentliche_Meinung	new	nt	new
293	der_Kriegsteilnahme	acc	nt	acc-gen
294	ihn	giv	nt	giv-active
295	er	giv	ab	giv-active
296	die_Tuchfühlung	idiom	nt	idiom
297	den_Meinungsführern	acc	nt	acc-inf
298	sie	giv	nt	giv-active
299	Die_jungen_Autoren	giv	ab	giv-inactive
300	gute_Bücher	new	nt	new
301	sie	giv	nt	giv-active
302	dem_Kanzler	giv	nt	giv-inactive
303	Ratschläge	new	nt	new
304	die	giv	nt	giv-active
305	die	giv	nt	giv-active
306	Normalbürgern	acc	nt	acc-gen
307	Die_Nation	acc	ab	acc-gen
308	keine_neuen_Klassensprecher	acc	nt	acc-inf
309	der_Bundeskanzler	giv	ab	giv-active
310	die_alten	acc	nt	acc-inf
311	Die	giv	ab	giv-active
312	dem_Enkel	acc	ab	acc-gen
313	Willy_Brandt	acc	ab	acc-gen
314	die_Leviten	idiom	nt	idiom
315	für_Schröder	giv	nt	giv-active
316	die_großen_Namen	giv	ab	giv-active
317	Wunder	idiom	nt	idiom
318	die_Dallgower_Gemeindevertreter	new	ab	new
319	die_deutsche_Abwehrreihe_der_Fußballkicker	acc	nt	acc-inf
320	der_Tiefe	idiom	nt	idiom
321	ein_fulminanter_Steilpass	new	ab	new
322	dem	giv	nt	giv-active
323	man	acc	nt	acc-sit
324	die_Seeburger_oder_Groß-Glienicker_Mitspieler	new	nt	new
325	ihn	giv	nt	giv-active
326	Ein_Befreiungsschlag	acc	ab	acc-inf
327	keine_Gefahr	idiom	nt	idiom
328	Dallgower_Tor	acc	nt	acc-inf
329	Die_Seeburger	giv	ab	giv-inactive
330	einige_Groß-Glienicker	giv	ab	giv-inactive
331	den_Ball	acc	nt	acc-inf
332	sie	giv	ab	giv-active
333	sie	giv	nt	giv-active
334	die_Chance	acc	nt	acc-inf
335	Eine_Diskussion	new	nt	new
336	die_Trainerkabine	new	ab	new
337	der_jetzigen_Spielsituation	new	fs	new
338	eine_Parallele	idiom	nt	idiom
339	den_deutschen_Grotten-Kickern	giv	nt	giv-inactive
340	die_Spieler	acc	ab	acc-aggr
341	den_verschiedenen_Vereinen	giv	nt	giv-inactive
342	sie	giv	ab	giv-active
343	sich	acc	nt	acc-aggr
344	sie	giv	nt	giv-active
345	einer_Mannschaft_"_Döberitzer_Heide_"	acc	nt	acc-inf
346	das	giv	nt	giv-active
347	Ermahnungen	new	ab	new
348	der_Seitenlinie	acc	ab	acc-inf
349	sich	acc	nt	acc-aggr
350	kleinsten_Schubser	idiom	nt	idiom
351	dem_11._September	acc	fs	acc-gen
352	Bin_Laden	acc	ab	acc-gen
353	Amerika	acc	nt	acc-gen
354	die_westliche_Welt	acc	nt	acc-inf
355	Krieg	acc	nt	acc-gen
356	die_deutsche_Spaßkultur	new	ab	new
357	ihm	giv	nt	giv-active
358	Deutschland	acc	ab	acc-gen
359	Veronas_Tränen	acc	nt	acc-gen
360	Johannes_B._Kerner	acc	ab	acc-gen
361	Interviews	new	nt	new
362	seine_Vermittlerrolle	new	nt	new
363	Ehekrieg	new	nt	new
364	die_Bushs_Medienauftritte	acc	nt	acc-gen
365	uns	acc	nt	acc-sit
366	Veronas_Tränen	giv	ab	giv-active
367	Dieters_Geschwätz	new	ab	new
368	dem_Bildschirm	acc	nt	acc-gen
369	der_Boulevard	acc	nt	acc-gen
370	seinen_Schießbudenfiguren	acc	nt	acc-aggr
371	wir	acc	ab	acc-sit
372	sie	acc	nt	acc-aggr
373	darüber	acc	nt	acc-inf
374	wir	acc	ab	acc-sit
375	damit	giv	nt	giv-active
376	Veronas_Tränen	giv	ab	giv-inactive
377	bin_Ladens_Schläfer	acc	nt	acc-gen
378	Berlusconi	acc	ab	acc-gen
379	Der_Westen	giv	ab	giv-inactive
380	dem_Islam	acc	nt	acc-gen
